text,intent
Goodbye,farewell
Bye,farewell
See you,farewell
See you later,farewell
Take care,farewell
Farewell,farewell
Catch you later,farewell
See you soon,farewell
See you tomorrow,farewell
Talk to you later,farewell
See you next time,farewell
So long,farewell
Adios,farewell
Au revoir,farewell
Ciao,farewell
Have a good day,farewell
Have a nice day,farewell
Have a great day,farewell
Have a good one,farewell
Have a nice one,farewell
Have a great one,farewell
Take it easy,farewell
Stay safe,farewell
Peace out,farewell
Laters,farewell
Bye bye,farewell
Later,farewell
See ya,farewell
I'm out,farewell
Cheerio,farewell
Toodle-oo,farewell
Adieu,farewell
Until next time,farewell
Until we meet again,farewell
Keep in touch,farewell
Stay in touch,farewell
Godspeed,farewell
Good night,farewell
Bye for now,farewell
All the best,farewell
Best regards,farewell
Catch you on the flip side,farewell
Take care of yourself,farewell
Take it easy,farewell
Have a good evening,farewell
Have a good night,farewell
"Take care, see you soon",farewell
"Goodbye, take care",farewell
Bye,farewell
See you,farewell
See you,farewell
Goodbye,farewell
Bye,farewell
See you,farewell
Take care,farewell
Goodbye,farewell
Farewell,farewell
Catch you later,farewell
See you soon,farewell
Talk to you later,farewell
See you next time,farewell
So long,farewell
Adios,farewell
Au revoir,farewell
Ciao,farewell
Have a good day,farewell
Have a nice day,farewell
Have a great day,farewell
Have a good one,farewell
Have a nice one,farewell
Have a great one,farewell
Take it easy,farewell
Stay safe,farewell
Peace out,farewell
Laters,farewell
Bye bye,farewell
Later,farewell
See ya,farewell
I'm out,farewell
Cheerio,farewell
Toodle-oo,farewell
Adieu,farewell
Until next time,farewell
Until we meet again,farewell
Keep in touch,farewell
Stay in touch,farewell
Godspeed,farewell
Good night,farewell
Bye for now,farewell
All the best,farewell
Best regards,farewell
Catch you on the flip side,farewell
Take care of yourself,farewell
Take it easy,farewell
Have a good evening,farewell
Have a good night,farewell
"Take care, see you soon",farewell
"Goodbye,take care",farewell
"Bye, stay safe",farewell
See you,farewell
"See you, stay safe",farewell
"Goodbye, have a good day",farewell
